"","ID.","NAME","Type","dvera","dwat","v1","v2","v3","v4","v5","v6","COLLAR","year","SPECIES"
"260",260,"520-2015",0,2.881092971,5.04712058,100,0,0,0,0,0,520,2015,1
"261",261,"520-2015",0,7.873504265,2.739327254,100,0,0,0,0,0,520,2015,1
"262",262,"520-2015",0,1.529957998,6.282996486,38,62,0,0,0,0,520,2015,1
"263",263,"520-2015",0,5.49765155,2.459751017,100,0,0,0,0,0,520,2015,1
"264",264,"520-2015",0,5.099563789,4.416209116,84,16,0,0,0,0,520,2015,1
"265",265,"520-2015",0,3.497623776,2.83614437,42,0,58,0,0,0,520,2015,1
"266",266,"520-2015",0,3.548360949,3.709559645,85,0,15,0,0,0,520,2015,1
"267",267,"520-2015",0,0.957384259,7.596297264,0,44,34,0,0,22,520,2015,1
"268",268,"520-2015",0,1.707486847,3.785677906,49,0,51,0,0,0,520,2015,1
"269",269,"520-2015",0,3.524003275,10.59880602,0,0,0,0,0,100,520,2015,1
"270",270,"520-2015",0,2.975461531,7.804045631,0,0,0,0,0,100,520,2015,1
"271",271,"520-2015",0,4.148909629,5.763331312,100,0,0,0,0,0,520,2015,1
"272",272,"520-2015",0,0.500718477,11.4420902,0,0,11,0,0,89,520,2015,1
"273",273,"520-2015",0,1.497596002,4.247800684,76,0,24,0,0,0,520,2015,1
"274",274,"520-2015",0,2.881093302,7.545371489,5,69,26,0,0,0,520,2015,1
"275",275,"520-2015",0,3.781261695,4.616503672,100,0,0,0,0,0,520,2015,1
"276",276,"520-2015",0,0.749347448,5.635771128,32,68,0,0,0,0,520,2015,1
"277",277,"520-2015",0,9.60585576,3.972064138,100,0,0,0,0,0,520,2015,1
"278",278,"520-2015",0,7.328612585,2.282531075,93,7,0,0,0,0,520,2015,1
"279",279,"520-2015",0,0.749358112,9.076424241,0,73,27,0,0,0,520,2015,1
"280",280,"520-2015",0,2.881092971,5.04712058,100,0,0,0,0,0,520,2015,1
"281",281,"520-2015",0,0.644631638,10.06004567,0,0,87,0,0,13,520,2015,1
"282",282,"520-2015",0,3.900343129,9.829655313,0,0,0,0,0,100,520,2015,1
"283",283,"520-2015",0,2.630779826,10.01655173,0,0,0,0,0,100,520,2015,1
"284",284,"520-2015",0,3.900343129,9.829655313,0,0,0,0,0,100,520,2015,1
"285",285,"520-2015",0,1.711805801,9.504114382,0,0,0,0,0,100,520,2015,1
"286",286,"520-2015",0,0.679232695,6.243649618,11,85,4,0,0,0,520,2015,1
"287",287,"520-2015",0,1.397887147,10.31031608,0,0,0,0,0,100,520,2015,1
"288",288,"520-2015",0,3.895953359,1.617747583,65,0,0,0,0,35,520,2015,1
"289",289,"520-2015",0,1.529988658,9.487654249,0,69,31,0,0,0,520,2015,1
"290",290,"520-2015",0,11.74626745,4.412531863,100,0,0,0,0,0,520,2015,1
"291",291,"520-2015",0,3.900343129,9.829655313,0,0,0,0,0,100,520,2015,1
"292",292,"520-2015",0,2.881092971,5.04712058,100,0,0,0,0,0,520,2015,1
"293",293,"520-2015",0,5.49765155,2.459751017,100,0,0,0,0,0,520,2015,1
"294",294,"520-2015",0,4.243869167,5.10015037,100,0,0,0,0,0,520,2015,1
"295",295,"520-2015",0,3.030473492,11.40381709,0,0,0,0,0,100,520,2015,1
"296",296,"520-2015",0,1.607211427,8.151311955,0,0,32,0,0,68,520,2015,1
"297",297,"520-2015",0,3.900343129,9.829655313,0,0,0,0,0,100,520,2015,1
"298",298,"520-2015",0,0.178550262,8.688356284,0,85,15,0,0,0,520,2015,1
"299",299,"520-2015",0,2.881093302,7.545371489,5,69,26,0,0,0,520,2015,1
"300",300,"520-2015",0,5.529962552,3.429164305,100,0,0,0,0,0,520,2015,1
"301",301,"520-2015",0,2.804631913,6.349948375,99,1,0,0,0,0,520,2015,1
"302",302,"520-2015",0,5.556272388,1.529939792,100,0,0,0,0,0,520,2015,1
"303",303,"520-2015",0,6.497665436,2.833601417,100,0,0,0,0,0,520,2015,1
"304",304,"520-2015",0,10.51464548,5.297132424,100,0,0,0,0,0,520,2015,1
"305",305,"520-2015",0,1.394020448,4.152328983,92,0,8,0,0,0,520,2015,1
"306",306,"520-2015",0,1.397879831,6.811321686,0,32,37,0,0,31,520,2015,1
"307",307,"520-2015",0,2.497609889,3.469978054,81,0,19,0,0,0,520,2015,1
"308",308,"520-2015",0,2.252545449,7.013553859,7,93,0,0,0,0,520,2015,1
"309",309,"520-2015",0,0.95435981,4.694137983,60,0,40,0,0,0,520,2015,1
"310",310,"520-2015",0,5.631969785,3.90018415,100,0,0,0,0,0,520,2015,1
"311",311,"520-2015",0,5.49765155,2.459751017,100,0,0,0,0,0,520,2015,1
"312",312,"520-2015",0,4.243869167,5.10015037,100,0,0,0,0,0,520,2015,1
